data_pregao,preco_ultimo
2020-01-02,57.21
2020-01-03,57.72
2020-01-06,56.83
2020-01-07,56.95
2020-01-08,56.69
2020-01-09,56.62
2020-01-10,57.31
2020-01-13,58.69
2020-01-14,58.45
2020-01-15,58.11
2020-01-16,59.51
2020-01-17,59.62
2020-01-20,60.42
2020-01-21,60.43
2020-01-22,61.28
2020-01-23,60.58
2020-01-24,59.94
2020-01-27,60.44
2020-01-28,61.0
2020-01-29,60.6
2020-01-30,59.87
2020-01-31,59.39
2020-02-03,60.26
2020-02-04,61.0
2020-02-05,60.85
2020-02-06,60.2
2020-02-07,59.79
2020-02-10,59.09
2020-02-11,59.44
2020-02-12,60.29
2020-02-13,59.97
2020-02-14,58.42
2020-02-17,58.2
2020-02-18,57.78
2020-02-19,58.37
2020-02-20,57.2
2020-02-21,56.85
2020-02-26,54.03
2020-02-27,53.49
2020-02-28,53.38
2020-03-02,55.13
2020-03-03,55.79
2020-03-04,57.7
2020-03-05,57.0
2020-03-06,56.44
2020-03-09,52.59
2020-03-10,54.06
2020-03-11,54.32
2020-03-12,49.4
2020-03-13,53.27
2020-03-16,50.79
2020-03-17,54.6
2020-03-18,54.21
2020-03-19,57.93
2020-03-20,53.48
2020-03-23,49.07
2020-03-24,47.92
2020-03-25,47.06
2020-03-26,48.93
2020-03-27,48.59
2020-03-30,49.39
2020-03-31,49.45
2020-04-01,51.12
2020-04-02,51.84
2020-04-03,50.31
2020-04-06,52.0
2020-04-07,51.23
2020-04-08,52.48
2020-04-09,50.8
2020-04-13,51.75
2020-04-14,51.93
2020-04-15,50.9
2020-04-16,49.08
2020-04-17,47.87
2020-04-20,48.4
2020-04-22,49.15
2020-04-23,48.68
2020-04-24,45.51
2020-04-27,47.0
2020-04-28,46.6
2020-04-29,47.07
2020-04-30,45.65
2020-05-04,48.33
2020-05-05,49.5
2020-05-06,49.35
2020-05-07,47.4
2020-05-08,48.19
2020-05-11,46.87
2020-05-12,46.6
2020-05-13,46.84
2020-05-14,46.98
2020-05-15,45.9
2020-05-18,47.75
2020-05-19,46.56
2020-05-20,46.95
2020-05-21,47.59
2020-05-22,46.94
2020-05-25,48.4
2020-05-26,49.0
2020-05-27,48.72
2020-05-28,48.24
2020-05-29,47.14
2020-06-01,47.4
2020-06-02,48.04
2020-06-03,47.25
2020-06-04,47.3
2020-06-05,47.77
2020-06-08,48.54
2020-06-09,49.0
2020-06-10,49.59
2020-06-12,49.83
2020-06-15,48.48
2020-06-16,49.5
2020-06-17,49.7
2020-06-18,50.5
2020-06-19,50.4
2020-06-22,49.7
2020-06-23,49.22
2020-06-24,48.82
2020-06-25,49.31
2020-06-26,48.54
2020-06-29,48.2
2020-06-30,48.03
2020-07-01,48.08
2020-07-02,48.05
2020-07-03,48.85
2020-07-06,48.93
2020-07-07,48.38
2020-07-08,48.88
2020-07-09,49.75
2020-07-10,48.85
2020-07-13,48.02
2020-07-14,47.99
2020-07-15,48.42
2020-07-16,49.75
2020-07-17,50.39
2020-07-20,53.41
2020-07-21,52.79
2020-07-22,51.5
2020-07-23,49.58
2020-07-24,49.27
2020-07-27,49.75
2020-07-28,50.97
2020-07-29,50.6
2020-07-30,51.13
2020-07-31,52.65
2020-08-03,51.0
2020-08-04,50.6
2020-08-05,50.19
2020-08-06,51.36
2020-08-07,50.61
2020-08-10,51.84
2020-08-11,50.81
2020-08-12,49.59
2020-08-13,49.0
2020-08-14,50.11
2020-08-17,49.24
2020-08-18,49.91
2020-08-19,49.32
2020-08-20,49.47
2020-08-21,49.31
2020-08-24,49.93
2020-08-25,49.76
2020-08-26,49.43
2020-08-27,49.03
2020-08-28,49.55
2020-08-31,47.84
2020-09-01,48.76
2020-09-02,48.45
2020-09-03,48.81
2020-09-04,48.8
2020-09-08,48.93
2020-09-09,50.3
2020-09-10,48.38
2020-09-11,47.71
2020-09-14,47.75
2020-09-15,47.64
2020-09-16,47.06
2020-09-17,47.09
2020-09-18,46.55
2020-09-21,46.48
2020-09-22,46.35
2020-09-23,45.35
2020-09-24,45.64
2020-09-25,45.32
2020-09-28,44.01
2020-09-29,43.65
2020-09-30,43.42
2020-10-01,43.5
2020-10-02,43.47
2020-10-05,43.47
2020-10-06,43.71
2020-10-07,43.71
2020-10-08,44.3
2020-10-09,44.09
2020-10-13,43.73
2020-10-14,44.07
2020-10-15,44.24
2020-10-16,43.55
2020-10-19,43.13
2020-10-20,42.93
2020-10-21,43.0
2020-10-22,43.78
2020-10-23,43.87
2020-10-26,44.2
2020-10-27,43.49
2020-10-28,42.01
2020-10-29,42.15
2020-10-30,42.54
2020-11-03,42.5
2020-11-04,42.33
2020-11-05,42.9
2020-11-06,42.76
2020-11-09,44.48
2020-11-10,45.76
2020-11-11,44.96
2020-11-12,44.57
2020-11-13,44.62
2020-11-16,45.46
2020-11-17,46.66
2020-11-18,46.69
2020-11-19,46.39
2020-11-20,45.34
