data_pregao,preco_ultimo
2020-01-02,11.73
2020-01-03,11.48
2020-01-06,11.48
2020-01-07,11.65
2020-01-08,11.6
2020-01-09,11.66
2020-01-10,11.7
2020-01-13,12.7
2020-01-14,13.35
2020-01-15,13.55
2020-01-16,13.59
2020-01-17,13.73
2020-01-20,14.01
2020-01-21,14.32
2020-01-22,15.0
2020-01-23,15.16
2020-01-24,15.0
2020-01-27,13.9
2020-01-28,14.64
2020-01-29,14.45
2020-01-30,14.65
2020-01-31,14.0
2020-02-03,14.49
2020-02-04,14.95
2020-02-05,15.14
2020-02-06,14.85
2020-02-07,14.32
2020-02-10,13.79
2020-02-11,14.62
2020-02-12,14.99
2020-02-13,15.01
2020-02-14,14.73
2020-02-17,15.1
2020-02-18,14.97
2020-02-19,15.9
2020-02-20,15.95
2020-02-21,16.64
2020-02-26,15.0
2020-02-27,14.08
2020-02-28,13.81
2020-03-02,14.34
2020-03-03,14.37
2020-03-04,14.98
2020-03-05,13.96
2020-03-06,11.56
2020-03-09,9.58
2020-03-10,11.62
2020-03-11,11.0
2020-03-12,8.5
2020-03-13,9.71
2020-03-16,7.56
2020-03-17,7.04
2020-03-18,4.82
2020-03-19,5.11
2020-03-20,4.97
2020-03-23,4.41
2020-03-24,5.01
2020-03-25,5.71
2020-03-26,5.7
2020-03-27,5.7
2020-03-30,5.45
2020-03-31,5.28
2020-04-01,4.65
2020-04-02,4.38
2020-04-03,4.1
2020-04-06,4.36
2020-04-07,4.42
2020-04-08,5.03
2020-04-09,5.15
2020-04-13,5.43
2020-04-14,6.09
2020-04-15,6.32
2020-04-16,6.41
2020-04-17,6.48
2020-04-20,6.59
2020-04-22,7.4
2020-04-23,7.36
2020-04-24,6.38
2020-04-27,7.57
2020-04-28,9.04
2020-04-29,9.18
2020-04-30,9.18
2020-05-04,9.5
2020-05-05,9.7
2020-05-06,10.01
2020-05-07,9.74
2020-05-08,8.85
2020-05-11,8.88
2020-05-12,8.55
2020-05-13,9.14
2020-05-14,9.02
2020-05-15,8.68
2020-05-18,8.87
2020-05-19,9.29
2020-05-20,9.16
2020-05-21,9.49
2020-05-22,9.7
2020-05-25,11.21
2020-05-26,11.57
2020-05-27,12.18
2020-05-28,12.58
2020-05-29,12.4
2020-06-01,13.43
2020-06-02,13.28
2020-06-03,13.48
2020-06-04,13.95
2020-06-05,14.85
2020-06-08,15.5
