data_pregao,preco_ultimo
2020-01-02,35.24
2020-01-03,34.79
2020-01-06,34.88
2020-01-07,35.15
2020-01-08,33.82
2020-01-09,33.32
2020-01-10,34.0
2020-01-13,34.32
2020-01-14,35.0
2020-01-15,35.23
2020-01-16,35.87
2020-01-17,36.8
2020-01-20,37.93
2020-01-21,37.49
2020-01-22,38.9
2020-01-23,39.65
2020-01-24,41.43
2020-01-27,40.97
2020-01-28,42.01
2020-01-29,42.39
2020-01-30,40.97
2020-01-31,39.41
2020-02-03,40.67
2020-02-04,40.52
2020-02-05,41.37
2020-02-06,42.84
2020-02-07,41.1
2020-02-10,41.53
2020-02-11,43.05
2020-02-12,44.56
2020-02-13,45.57
2020-02-14,45.57
2020-02-17,45.78
2020-02-18,44.7
2020-02-19,48.82
2020-02-20,47.49
2020-02-21,49.8
2020-02-26,46.83
2020-02-27,43.97
2020-02-28,43.15
2020-03-02,46.99
2020-03-03,47.92
2020-03-04,48.46
2020-03-05,46.7
2020-03-06,44.02
2020-03-09,39.75
2020-03-10,41.91
2020-03-11,39.2
2020-03-12,33.0
2020-03-13,34.53
2020-03-16,27.41
2020-03-17,28.68
2020-03-18,26.47
2020-03-19,28.73
2020-03-20,32.37
2020-03-23,35.2
2020-03-24,36.06
2020-03-25,37.36
2020-03-26,37.95
2020-03-27,35.36
2020-03-30,34.02
2020-03-31,33.57
2020-04-01,32.43
2020-04-02,34.1
2020-04-03,32.89
2020-04-06,33.28
2020-04-07,37.3
2020-04-08,39.99
2020-04-09,38.3
2020-04-13,39.26
2020-04-14,38.9
2020-04-15,38.0
2020-04-16,38.01
2020-04-17,38.46
2020-04-20,39.1
2020-04-22,40.92
2020-04-23,39.59
2020-04-24,38.71
2020-04-27,40.6
2020-04-28,41.58
2020-04-29,41.4
2020-04-30,39.94
2020-05-04,39.84
2020-05-05,39.01
2020-05-06,38.83
2020-05-07,39.09
2020-05-08,38.24
2020-05-11,38.83
2020-05-12,37.5
2020-05-13,38.0
2020-05-14,37.35
2020-05-15,36.41
2020-05-18,36.62
2020-05-19,36.92
2020-05-20,37.64
2020-05-21,37.44
2020-05-22,37.24
2020-05-25,38.04
2020-05-26,40.42
2020-05-27,40.58
2020-05-28,40.68
2020-05-29,41.83
2020-06-01,42.16
2020-06-02,42.42
2020-06-03,42.6
2020-06-04,43.8
2020-06-05,44.33
2020-06-08,45.8
2020-06-09,45.81
2020-06-10,44.99
2020-06-12,44.25
2020-06-15,44.27
2020-06-16,44.76
2020-06-17,46.16
2020-06-18,46.13
2020-06-19,46.21
2020-06-22,45.6
2020-06-23,46.12
2020-06-24,46.05
2020-06-25,49.22
2020-06-26,50.0
2020-06-29,49.92
2020-06-30,50.61
2020-07-01,52.59
2020-07-02,53.57
2020-07-03,54.0
2020-07-06,53.2
2020-07-07,53.91
2020-07-08,54.3
2020-07-09,54.46
2020-07-10,54.7
2020-07-13,54.94
2020-07-14,53.99
2020-07-15,54.35
2020-07-16,54.55
2020-07-17,58.09
2020-07-20,60.16
2020-07-21,59.88
2020-07-22,68.2
2020-07-23,66.98
2020-07-24,66.71
2020-07-27,69.95
2020-07-28,67.19
2020-07-29,66.98
2020-07-30,68.0
2020-07-31,67.35
2020-08-03,66.57
2020-08-04,66.79
2020-08-05,68.2
2020-08-06,69.83
2020-08-07,68.45
2020-08-10,68.99
2020-08-11,67.37
2020-08-12,68.0
2020-08-13,68.9
2020-08-14,69.17
2020-08-17,67.97
2020-08-18,67.7
2020-08-19,65.88
2020-08-20,67.22
2020-08-21,67.6
2020-08-24,66.47
2020-08-25,68.29
2020-08-26,66.43
2020-08-27,66.29
2020-08-28,67.19
2020-08-31,64.62
2020-09-01,66.93
2020-09-02,66.81
2020-09-03,64.43
2020-09-04,64.49
2020-09-08,63.0
2020-09-09,64.93
2020-09-10,62.42
2020-09-11,62.09
2020-09-14,63.33
2020-09-15,64.08
2020-09-16,62.94
2020-09-17,62.82
2020-09-18,61.99
2020-09-21,63.4
2020-09-22,64.62
2020-09-23,62.5
2020-09-24,64.49
2020-09-25,64.25
2020-09-28,62.89
2020-09-29,64.94
2020-09-30,65.7
2020-10-01,66.9
2020-10-02,67.05
2020-10-05,70.18
2020-10-06,71.48
2020-10-07,73.17
2020-10-08,75.18
2020-10-09,76.9
2020-10-13,79.15
2020-10-14,80.58
2020-10-15,80.77
2020-10-16,82.05
2020-10-19,82.06
2020-10-20,83.55
2020-10-21,78.4
2020-10-22,82.11
2020-10-23,81.67
2020-10-26,82.75
2020-10-27,83.24
2020-10-28,79.14
2020-10-29,80.03
2020-10-30,75.83
2020-11-03,77.32
2020-11-04,82.2
2020-11-05,85.75
2020-11-06,84.0
2020-11-09,82.13
2020-11-10,79.03
2020-11-11,80.59
2020-11-12,80.8
2020-11-13,82.87
2020-11-16,81.58
2020-11-17,81.69
2020-11-18,81.09
2020-11-19,80.93
2020-11-20,80.0
2020-11-23,78.51
2020-11-24,76.94
2020-11-25,77.32
2020-11-26,77.7
2020-11-27,77.0
2020-11-30,73.57
2020-12-01,73.6
2020-12-02,73.23
2020-12-03,73.93
2020-12-04,71.8
2020-12-07,71.61
2020-12-08,72.7
2020-12-09,71.0
2020-12-10,71.0
2020-12-11,71.0
2020-12-14,70.55
2020-12-15,72.75
2020-12-16,73.3
2020-12-17,75.77
2020-12-18,72.87
2020-12-21,72.01
2020-12-22,72.82
2020-12-23,72.62
2020-12-28,75.5
2020-12-29,75.15
2020-12-30,75.74
2021-01-04,74.62
2021-01-05,79.2
2021-01-06,81.54
2021-01-07,84.66
2021-01-08,89.78
2021-01-11,87.03
2021-01-12,90.07
2021-01-13,90.28
2021-01-14,89.87
2021-01-15,86.16
2021-01-18,92.21
2021-01-19,89.6
2021-01-20,88.7
2021-01-21,87.65
2021-01-22,88.97
2021-01-26,88.95
2021-01-27,88.25
2021-01-28,87.97
2021-01-29,83.79
2021-02-01,84.54
2021-02-02,85.0
2021-02-03,88.67
2021-02-04,85.57
2021-02-05,84.5
2021-02-08,85.5
2021-02-09,85.01
2021-02-10,86.03
2021-02-11,87.0
2021-02-12,86.67
2021-02-17,83.95
2021-02-18,83.38
2021-02-19,83.24
2021-02-22,82.72
2021-02-23,83.66
2021-02-24,86.7
2021-02-25,79.5
2021-02-26,78.05
2021-03-01,78.0
2021-03-02,77.06
2021-03-03,77.0
2021-03-04,73.23
2021-03-05,73.04
2021-03-08,69.15
2021-03-09,71.5
2021-03-10,72.28
2021-03-11,71.92
2021-03-12,71.15
2021-03-15,73.22
2021-03-16,73.4
2021-03-17,73.19
