data_pregao,preco_ultimo
2020-01-02,46.75
2020-01-03,45.77
2020-01-06,46.65
2020-01-07,45.78
2020-01-08,45.51
2020-01-09,45.91
2020-01-10,46.11
2020-01-13,47.7
2020-01-14,48.7
2020-01-15,48.27
2020-01-16,48.5
2020-01-17,50.0
2020-01-20,52.0
2020-01-21,51.47
2020-01-22,51.0
2020-01-23,51.99
2020-01-24,52.03
2020-01-27,50.84
2020-01-28,52.23
2020-01-29,51.84
2020-01-30,52.29
2020-01-31,52.71
2020-02-03,54.87
2020-02-04,56.6
2020-02-05,55.5
2020-02-06,53.66
2020-02-07,52.8
2020-02-10,52.15
2020-02-11,53.0
2020-02-12,54.13
2020-02-13,53.37
2020-02-14,53.5
2020-02-17,53.85
2020-02-18,54.21
2020-02-19,55.41
2020-02-20,55.0
2020-02-21,56.0
2020-02-26,53.45
2020-02-27,51.3
2020-02-28,51.89
2020-03-02,50.12
2020-03-03,51.08
2020-03-04,50.02
2020-03-05,46.6
2020-03-06,44.6
2020-03-09,40.08
2020-03-10,45.01
2020-03-11,42.35
2020-03-12,36.6
2020-03-13,34.4
2020-03-16,25.74
2020-03-17,26.62
2020-03-18,23.53
2020-03-19,24.28
2020-03-20,22.4
2020-03-23,21.0
2020-03-24,21.77
2020-03-25,26.79
2020-03-26,32.34
2020-03-27,28.0
2020-03-30,26.77
2020-03-31,22.17
2020-04-01,21.7
2020-04-02,20.62
2020-04-03,21.03
2020-04-06,22.21
2020-04-07,26.5
2020-04-08,27.45
2020-04-09,27.05
2020-04-13,26.3
2020-04-14,27.17
2020-04-15,28.02
2020-04-16,28.5
2020-04-17,29.0
2020-04-20,29.0
2020-04-22,30.8
2020-04-23,28.9
2020-04-24,27.55
2020-04-27,27.78
2020-04-28,28.5
2020-04-29,30.15
2020-04-30,30.35
2020-05-04,28.53
2020-05-05,28.84
2020-05-06,28.04
2020-05-07,26.78
2020-05-08,27.04
2020-05-11,25.81
2020-05-12,24.65
2020-05-13,23.78
2020-05-14,24.12
2020-05-15,23.81
2020-05-18,26.44
2020-05-19,26.05
2020-05-20,25.95
2020-05-21,26.98
2020-05-22,25.58
2020-05-25,27.53
2020-05-26,27.93
2020-05-27,30.1
2020-05-28,28.51
2020-05-29,28.48
2020-06-01,29.82
2020-06-02,33.55
2020-06-03,35.14
2020-06-04,35.11
2020-06-05,38.56
2020-06-08,37.15
2020-06-09,36.64
2020-06-10,34.9
2020-06-12,33.43
